text,label
إيران هي مسؤل+ه رقم واحد عن تعطيل عهد و مع هي أستاذ جبران باسيل مصر على مصالح إيران مع طبيع مع سوريا حتى فتح,0
مهو كمان ولي انتقد أردوغان مدح ملك هادي هو ولي جد بغل,1
أودى قضي+ة تحرش مغرب لا مندويو على شخص را قانون راسو خاص مشى حبس,1
حسب الله نعم وكيل في سلط+ة خون+ة جاسوس عصاب+ة حرام عباس,1
غض نظر عن إن كل كلب بس حتى إمار+ة وصل أسد شحن كيماوي من بعد قطر على أقل كان أعطى مضاد طيران بال بس ضل تركيا ولي جاب كتاف آخر,1
لعن+ة الله على يا وئام وهاب الله يذللك أن إنسان مفتري و كذاب ما طالع بادي شي الا تعوي,1
خبر بشر خير بدء بناء دول+ة,0
يا بوق فتن+ة,0
حقو أمان+ة مو معقول قاعد بحضنو و ما عم تلحمس دقنو,0
هو أنت أصل مؤمن ملأك,0
سيد حسن نصر الله في حوار عام مع أشاد موقف رئيس ميشيل عون وزير جبران باسيل في قم+ة عربي اقتصادي في لبنان,0
حكوم+ة باع مواطن شر+ة خنزير جزير+ة الي شوه سمع+ة قطري بلد أمام عالم عجيب تكلم بسم أعطى فلس,0
أحن الى زمن ما كان إذ اشترى جينز طلع في خيط منس ل نرجعلو يا نجيب مصري هههه هلق ما منقبل لبس إذ مش آكل كلب,0
سقوط تفاهم معراب بذكرني سقوط اتفاق قبل حرب إلغاء شخص مريض ما شبع حرب عبثية حتى لو طلعتو رئيس,0
اسرائيل عدو قبل موسى صدر قبل أمل,0
مهما كان خلاص من خنزير ب أهم إنجاز بعد ا ي حاج+ة تيجي,1
كثر منافق أصحاب مصلح+ة هاذ أكبر كلب أيران في لبنان تابع هالفديوا عرف هالمرتزق,1
كول هو,1
لماذا رأي تحرش لفظي جسد+ي فاضح في شارع مكان عام لايوجد,0
انتي ما حد دعسلك عا ديل,1
في سلع+ة باير أحرج حراج,1
على أساس أنت شخصي+ة عصر ل مين قار+ي يا قباري ناس عفوي+ة رحب قطر لا أهل لا سهل في,1
انتي شعر مفتوح ده تعتبري متبرج و مثير بعض هل هذا أعطى حق آخر يعاملوكي كسكس د,1
خنزير فاجر قتل قتيل مشى في جناز+ة امت يارب نجى من فاسد إرهابي ده لي تحكم في مصري غصب عن,1
أحس مذيع عم انتقم بس أذاع نشر+ة سم و تسمسم خاص بس قال جبران باسيل,0
كان معلوم معلا+ة لم نجح اي علوي رغم من وعد كثير الذي وعد ب تيار حر باقي آذار هذا مهزل+ة,0
لو في دول+ة اساس احترم نفس لن ترك بوق شيطان مثل نوى أنت صرماي سوا,1
هيدا أسوأ عهد مرق تاريخ لبنان,0
في عرف مين مرجع كبير معلا+ة,0
هدول بيفهموا شو عنى حري+ة,0
مين قال انو سوريا غائب عن قم+ة عربي جبران باسيل قد و قدود,0
خمسسةة يا اسم خمس مواااه,0
هناك شيء مدمر في فهم متطرف إسلام ادان معالج+ة ظاهر+ة في غياب عدال+ة فكر عقلاني كرام+ة إنساني+ة لم لن كان حل مستدام,0
إنسان دا كائن وسخ الله,1
هدا قال على شارب بول بعير ابتعاد عن كر+ة قدم,1
كل في هوى سوا هو كلب عند بشار أنت كلب عند أردوغان هو باع سوريا أنت ذلك باع سوريا ل أردوغان كلب,1
"كلي+ة عسكري توكر تبتاريخ تخريج دفع+ة جديد من ضابط تابع جيش ليبي بعد فتر+ة تدريب دام الي أعوام متواصل وان تم تخريج ذلك دفع حضور عد+ة رمز بارز من جيش ليبي وان ذلك دفع رقم في تاريخ جيش ليبي
ليبيا",0
شووو تئول يامعرص هذا حساب حمار ريح+ة زار صخ يابو ريكي,1
لو كان في دول+ة ما حصل غزو جاهلي+ة,0
مشكل+ه هي جبران باسيل ولي بدوي حكى و اشتغل كل بلد و كل وزار+ة على كيف,0
دول+ة كل مين ايدو اله,0
لو في دول+ة لازم أنت يا كلب ما طلع من سجن,1
أن تبرج اساس عدم أربى أو تشويه,1
هيدي تاني مقال يا باطل ههههه,0
أنا احترم محترم اما الي غدر بحلفائو سابق طعن ظهر حليفو أزرق حالي باع شارب بول بعير آن طعن ب,1
ل+عن أسد,1
أتى يوم انتصر حق عل باطل سوف رأى كل مجرم وراء قضيب,0
الله حمى وطن بنى شاب,0
هل أصبح وئام وهاب قاضي برأ مظلوم يسجن مذنب دليل من فجور قو+ة من عمال+ة نظام دمشق زحف,0
انو باسيل طمع رئاس+ة,0
"هذا لم رائع تابع أمس الله ياهو رهيب مستغرب سن إنتاج توني أطيح على عاشق سجن لا فات
اسم",0
من هم ه أمر وليد جنبلاط تزوج من أيرانيه من ثم تزوج من شركسي أنجب من ثلاث ولد غير درز ك,0
كان بدي اكت لقي حد سبق,0
وطن جميل شعب جميل بس هدون بال سياس+ة شوي مشى حال اي شعب بدوي كان حي هوي يتبهدل عباب مستشفى,0
فضيل+ة شيخ عامل مسبح شو هالصاحب فضيل,0
هابو كلم+ة بين+ة ما حد سامع لا شايف من بعد ما ضحك تاج رأس سعد حريري كم لبناني عم ضحك على,0
صار من شرط دخل اخو سوا,0
تاج على راسي مثل يا شارب بول بعير,1
الش دول+ة أنت اللي تعرفو يا توع نكاح كاراتيه حبلى نجم اذوب عشق في يا ولاد رقاص+ه,1
دميم كلب ليس ل مكان بين عربي ا شراف ان حثال+ة أمير شاذ مخنث مرحب+ا ب في أي مكان أو زمان,1
روح عالج يا حمار أنت,1
قد أكل هواء,0
هو كوميدي شيخ سعد,0
وزير خارجي+ة لبناني جبران باسيل دامي ظل,0
كيف عنى حرم رئيس حريري علم قياد+ة أكبر غاب عن هيدا مؤتمر ما في حريري و مثل,0
كل زق يا باطني,1
منيح الك لانو حضر+ة مرفوع على دعوى قدح ذم قاضي دول+ة هلا ماجابتك حضر+ة كان لح عمل فتن+ة لبنان,0
مات بغيض,1
كول هو يا كلب انضب,1
أنت آخر درب+ك,1
لا زال هناك من حمقى من صدق ان حرك+ة سماح حماس إرهابي حرك+ة مقاوم+ة هم في حقيق+ة خنزير شريف متجر دم,1
عند سأل أبو غيط عن إمكاني+ة عود+ة عصاب+ة سفاح شام الى جامع+ة عبري أجاب أسأل جبران باسيل كلب في بيروت,1
يا شو ابق عبعض,0
ناهيك عن مقاومةكل قواينن لبناني عارض إعتراف إسرائيل دول+ة و لبنان من دول+ة ال من عضو,0
جزم مكان حقيقي جبين,1
أنت اسم ليس هديل بل هبيل كما هو واضح شيخ سامي جميل تاج رأس رأس هذا خروف ولي مع,1
عزيز جبران باسيل ع تويتر معش غرد معش غرد ع تويتر هكرولو حساب طعمرك,1
كول خراااااا,1
لاي حضر+ة ما تعاطى سياس+ة أو فنان الله يشفيك,0
هيدا جبران باسيل,0
لعن+ة علي قطر شعب و حكوم+ة و مقيم,1
أنت بتهر اردوغان ريال سيب من ياعم أرفع مع+ا إشار+ة رابع هى هى هى رفع مع+ا اردوغان,1
فعل عيب على تحشر انفك شي ما بيخصك روح زبط بلد حكوم+ة ديرو كم على مواطن شيلو زبال+ة لا ماتدخلو أمور غير,0
ما عند مبدأ كل يوم مع أحد انقلب مع طقس مصلح+ة كم مر+ة أهان سلمان ملك,0
أنتم قال ان الله خالق لان و+جب ان كان خالق أشياء إذ من وجد خالق هل وجدنفسه,1
طز في في نادي كل مصيب ورا أنت يا يهودي انتو ا لي بتحرضوا بترضوا ظلم لو ل,1
جبران باسيل ل سيإنإن أمن إسرائيل هو حق,0
مادام تشتمي بقي انتي من فصيل حسيني مفضوح نفس عرف لي كلب سيسي ما فيهمش واحد مؤدب,1
اسم نهارد كان بيرج شارع يا ريس كل نور ما قطع مصر كل نفس واحد كان هتف الله أخرب بيت يا مرسي,1
بشير قال منتعامل مع شيطان رمل مصلح+ة لبنان أول وين مشكل+ة,0
دول+ة رءيس شيخ سعد حريري تاج رأس أشرف من من عيل من الي خلف,0
هل ترك شيء في عامل نفذ اجند مجوسي فارس+ي ايراني يهودي ما زيار+ة أكبر عدو إسلام الم,0
لا صديق مو عيب واحد قاتل واحد أدا+ة بيد قاتل,1
"مثل جبل ثابت عمر ما إنحنى
ماكن ل قم ه عزيز عالي
محمد زعيزعي",0
عند أتى يوم احترم لبناني بعض بعضوعندما ت عمل منص+ة غرض إيجابي,0
رأى احتاج إلى أعجوب+ة كي فهم أن وليد جنبلاط هو زعيم زعيم جبل كل لبنان لكن مختار وطن لا احتاج ضم,0
هذا واحد عميل كلب قاتل رشيد رامي,1
يا جربوع أكثري+ة هي لبتحدد لوووو كفى شهاد+ة عبار+ة شهير كمان شارك شحاد+ة دكن شيخ الكن طيب,1
أكد كولونب خلال مقابل+ة مع مجل+ة لكسبرس أن إستراتيجي+ة ترانزيت اقتصر على إنشاء مركز عبور لاجئ أفريقي موج,0
حمى رب سما,0
كول هو طلع ع شغل,1
مش بس وزير وقف من زمان موقف سعودي+ة ضد ربيع عربي من أول ظهور ل قد عانى من شيخ أخونج داخلي خارجي,0
قوم رجاع على حضن وطن و دافع عن سيد رئيس دكتور مهندس رائد ركن مظلي فارس ذهبي يا انبطاح ل قوم,1
ثاني فارس+ي لم احتل لا سوريا لا لبنان انصحك ان بطل شرب بول بعير حتى ما صار عند خلط,0
أنت قد صباطو لواء عثمان يا مجرم استحي على حال روح احفر جور+ة إنزال في ضل بزق على حال غرق مات يا هيم,1
من هذا منبر أحب أقول الله ياخذ عمر حريم,1
لا شمعون لا بشير جبران باسيل هو جبران باسيل,0
عزيز جبران باسيل بد عرف كتييير منيح انو مش شغلتنا حفظ أمن اسرائيل ولي ما منعترف لن اعترف ب وجود أبد,0
أما وزير خارجي+ة جبران باسيل كان ل جهد حثيث كبير في توصل الى صيغ+ة عربي مشترك دعا مجتمع دولي الى حمل مسؤولي+ة,0
انعام أمثال يا زبال+ة الي شرب بول بعير ركض ورا الع,1
شو يا أستاذ وئام ريح ضرب كف مابدك بطل عاد+ة ضرب وجه شو آخذ عسفارة قبل ما راح,0
الله ستر حريم لايتطلقوا أنا أخت دون ناعم يالله مشي أمر,1
جبران باسيل أدنى انتهاك إسرائيلي مستمر يوم+ي هذا واجب ليس من لا موقف مقاوم,0
أنا راجل وسخ إن نجح في سته إبتدائي أساس,1
لم اهل+ا سهل بشار أسد يا عيب شوم على أنت عميل صغير راح ضل عميل صغير,1
